
2025/10/26 (12:34:37) | ===> btop++ v.1.4.3
2025/10/26 (12:34:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/10/29 (09:22:17) | ===> btop++ v.1.4.5
2025/10/29 (09:22:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/10/29 (09:22:17) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/10/29 (09:22:17) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/10/29 (10:23:40) | ===> btop++ v.1.4.5
2025/10/29 (10:23:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/10/29 (10:23:40) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/10/29 (10:23:40) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/10/29 (15:24:48) | ===> btop++ v.1.4.5
2025/10/29 (15:24:48) | WARNING: Intel GPU: Failed to initialize PMU
2025/10/29 (15:24:48) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/10/29 (15:24:48) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/10/29 (15:25:33) | ===> btop++ v.1.4.5
2025/10/29 (15:25:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/10/29 (15:25:33) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/10/29 (15:25:33) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/10/29 (15:43:10) | ===> btop++ v.1.4.5
2025/10/29 (15:43:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/10/29 (15:43:10) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/10/29 (15:43:10) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/10/29 (15:47:19) | ===> btop++ v.1.4.5
2025/10/29 (15:47:19) | WARNING: Intel GPU: Failed to initialize PMU
2025/10/29 (15:47:19) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/10/29 (15:47:19) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/10/29 (15:51:12) | ===> btop++ v.1.4.5
2025/10/29 (15:51:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/10/29 (15:51:12) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/10/29 (15:51:12) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/10/29 (15:58:59) | ===> btop++ v.1.4.5
2025/10/29 (15:58:59) | WARNING: Intel GPU: Failed to initialize PMU
2025/10/29 (15:58:59) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/10/29 (15:58:59) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/10/30 (11:23:49) | ===> btop++ v.1.4.5
2025/10/30 (11:23:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/10/30 (11:23:49) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/10/30 (11:23:49) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/10/30 (11:50:56) | ===> btop++ v.1.4.5
2025/10/30 (11:50:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/10/30 (11:50:56) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/10/30 (11:50:56) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2025/10/30 (12:03:33) | ===> btop++ v.1.4.5
2025/10/30 (12:03:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/10/30 (12:03:33) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2025/10/30 (12:03:33) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...
